"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"5350","ZNF646",0.795228174603175,-0.111592356687898,14.850883572149,7.58713917838984e-32,1.68757161196577e-29,61.8019813075845
"9003","FAIM3",-1.20761561561561,-0.716153846153846,-14.8675963799617,7.91980320468857e-32,1.74154672515828e-29,61.7617748224033
"11113","FGFRL1",0.634501984126984,0.0210828025477707,14.827160085626,8.79941155335146e-32,1.91322935920117e-29,61.6550843962243
"8986","CAPZB",-0.825791666666665,-0.646433121019108,-14.7994139919742,1.04656699345398e-31,2.25023532114756e-29,61.483227640182
"8740","TBX19",0.880432539682539,0.164968152866242,14.7581463149994,1.35464939954812e-31,2.88063961875337e-29,61.2275173689478
"7945","LRPAP1",-0.9070873015873,-0.564649681528662,-14.7486814912464,1.43726015124118e-31,3.02308925942045e-29,61.1688526436245
"7090","HOXA11",1.08195634920635,0.210063694267516,14.734839440341,1.56724981305295e-31,3.26105926154707e-29,61.0830456691244
"1595","S100A12",1.63974206349206,0.971974522292994,14.6830734007876,2.16678141120439e-31,4.46057309449107e-29,60.7620287161905
"13341","MFSD2",0.876194444444443,0.552611464968153,14.6585179640157,2.52681615583868e-31,5.1469915191194e-29,60.6096880302009
"3962","NOC2L",0.912301587301586,0.446369426751592,14.6472659548836,2.71125440995586e-31,5.46515459240164e-29,60.5398673083331
"15700","MAGED1",-0.479182539682539,-0.438726114649682,-14.629080559294,3.0382821595584e-31,6.06121629583655e-29,60.4270054294823
"15757","HMHA1",-0.806728174603173,-0.572611464968153,-14.5261978014007,5.78911865215804e-31,1.14311464324398e-28,59.7880779918469
"10335","NOX1",0.559654761904761,0.421910828025478,14.5174712705994,6.11469225869446e-31,1.19520616058582e-28,59.733851870002
"16690","SLC17A3",0.646166666666666,0.242292993630573,14.4968383725321,6.95930724425462e-31,1.34669554483571e-28,59.605620615226
"15884","FXYD2",-0.604123376623378,-0.462820512820513,-14.5005468640618,7.81302126670986e-31,1.48226198273484e-28,59.4935454587315
"58","GPR109A",0.897482142857142,0.0762420382165605,14.4775117768999,7.85616477468215e-31,1.48226198273484e-28,59.4854829236069
"13133","FNBP1",-0.962787698412697,-0.751273885350318,-14.4768333452316,7.88966896913281e-31,1.48226198273484e-28,59.481265230423
"5885","GUCY1B2",0.696234126984126,0.0831210191082803,14.4553042324883,9.03057547816717e-31,1.67984910131412e-28,59.3474071383105
"13205","PCTK3",-0.497936507936507,-0.462993630573248,-14.4538213098772,9.11498918081661e-31,1.67984910131412e-28,59.3381859212071
"6084","NCKAP1L",0.726309523809523,0.181464968152866,14.4422383915058,9.80211636803622e-31,1.78944107394216e-28,59.2661553717651
"13262","SETD3",0.745515873015873,0.227388535031847,14.3740360450568,1.50399450818388e-30,2.71998109606227e-28,58.8418553712732
"13455","IL2RG",-0.979676587301586,-0.406433121019108,-14.3527073045782,1.71955472019325e-30,3.08102809170921e-28,58.7091059773776
"13669","LCK",-1.00907936507936,-0.803630573248408,-14.3293709247166,1.99101655899206e-30,3.53469370945461e-28,58.5638293016121
"3527","MAN1A1",0.89304365079365,0.178853503184713,14.2984483975556,2.41796313090867e-30,4.25363677692851e-28,58.3712757079812
"2340","C21orf96",0.740208333333333,0.214713375796178,14.2880446805264,2.58132485119206e-30,4.50010965724482e-28,58.306479234681
"4269","C22orf24",0.761740079365079,0.273184713375796,14.246106264113,3.35989403840193e-30,5.80511692295676e-28,58.045213360282
"14473","LCK",-1.15108531746032,-0.914267515923567,-14.2323755594698,3.66283299225751e-30,6.27252046311284e-28,57.959652131506
"17680","TMEM169",0.793345238095237,0.205286624203822,14.228862181737,3.74464898430105e-30,6.35637741186049e-28,57.9377571853827
"1410","KIF25",0.665964285714285,0.211082802547771,14.2104393982135,4.20458680233814e-30,7.07503993148221e-28,57.8229369660991
"3262","EI24",0.853621031746031,0.0900636942675159,14.2003250246243,4.48073258019844e-30,7.47471173788104e-28,57.7598907278832
"11210","C6orf107",0.816892857142856,0.426751592356688,14.1895159846863,4.7959525277415e-30,7.93217755250647e-28,57.6925079532536
"15051","C20orf74",0.672123015873016,-0.024968152866242,14.1790148928781,5.12344738657106e-30,8.40201952352005e-28,57.6270385531241
"5358","CLEC3A",0.509406746031745,0.260509554140127,14.175859994408,5.22614572451939e-30,8.49841562312392e-28,57.6073680172823
"15367","GNGT2",0.689087301587302,-0.252866242038217,14.1634102884386,5.65192876241727e-30,9.11420612346139e-28,57.5297396407373
"6321","PPME1",0.885936507936507,0.221783439490446,14.1489478668052,6.19035717878625e-30,9.89996708815643e-28,57.4395503535979
"4394","IL10RB",0.706773809523809,0.0115286624203822,14.1163837621674,7.59830157459519e-30,1.2052027358196e-27,57.2364344305857
"12461","PSRC1",0.876730158730158,0.562993630573248,14.1050557827148,8.1598633729215e-30,1.28375216365369e-27,57.1657634213231
"3177","FOXM1",0.802910714285714,-0.165222929936306,14.0818985009346,9.44050917739618e-30,1.4732523636435e-27,57.0212721258615
"14548","RFPL3S",0.961281746031746,0.472866242038217,14.0748203278229,9.87074204024353e-30,1.52806983376602e-27,56.9771016479923
"1290","PPP1CA",-1.09171428571428,-0.572802547770701,-14.0733493952977,9.96258478184169e-30,1.53004744534459e-27,56.9679221349092
"3898","FCGR2A",0.825301587301587,-0.00369426751592356,14.0038863108156,1.54302714043778e-29,2.35111166886704e-27,56.5342997258405
"1043","DNMT3L",0.694805555555555,0.222101910828025,13.9995592201885,1.58567075654154e-29,2.39721209451839e-27,56.5072795708029
"13274","C2orf28",-0.660821428571428,-0.575414012738854,-13.9724634192023,1.88087496730942e-29,2.82145825522517e-27,56.3380602523988
"12009","BPIL1",0.835339285714286,-0.178089171974522,13.9602016562426,2.03197904981909e-29,3.02467896869609e-27,56.2614705186373
"2923","SNRP70",-0.865136363636366,-0.533181818181818,-13.9765095146582,2.69434147169377e-29,3.94986377414744e-27,55.9899551326992
"916","SERF1A",0.654827380952381,-0.151528662420382,13.9158378195698,2.68760971248245e-29,3.94986377414744e-27,55.9843010194587
"15535","ND4L",-1.09331944444444,-0.553503184713376,-13.9034273002328,2.90634944780679e-29,4.22862918530144e-27,55.9067470680726
"15456","CCL13",0.571496031746031,0.0528025477707006,13.9002856911694,2.96449339332211e-29,4.28103818314747e-27,55.887113802235
"9916","NRXN2",-0.558607142857142,-0.456496815286624,-13.8851151623267,3.26208157474223e-29,4.67589189280273e-27,55.7922998918636
"14153","ZNF268",0.89344246031746,0.628471337579618,13.8725298408467,3.5315328291116e-29,5.02490380706902e-27,55.7136347656376
"1312","INPP5F",0.747128968253968,0.139872611464968,13.8574698834688,3.88341221110853e-29,5.48524888300446e-27,55.6194918429608
"7117","CPSF4",0.761749999999999,0.0054140127388535,13.8365126603403,4.4322527824338e-29,6.2151104052809e-27,55.4884659859819
"18462","CD3E",-0.715349206349205,-0.348535031847134,-13.8189864253843,4.95043590743741e-29,6.89179030538283e-27,55.3788750604876
"13745","ALB",-1.00804761904762,-0.551783439490446,-13.8176526588873,4.99226914505016e-29,6.90038573041897e-27,55.3705344808134
"11340","LRRC3B",0.528079365079365,0.0364968152866242,13.8030127368427,5.47537718170302e-29,7.51446977610887e-27,55.2789797447953
"306","FFAR3",0.657777777777777,0.0514649681528662,13.7960746576001,5.72040974109186e-29,7.79546823238511e-27,55.2355871378313
"14770","MAP4",0.893152777777777,0.203375796178344,13.7907362771745,5.9163938063848e-29,8.00616339491974e-27,55.2021979785577
"15164","FAM108A1",-0.890228174603173,-0.546178343949045,-13.7456336556704,7.86473383274725e-29,1.05687822498258e-26,54.9200501109284
"18657","C3orf21",0.452583333333333,0.0315286624203822,13.7331036040412,8.51208756058296e-29,1.1359821129989e-26,54.8416499661407
"12972","CAPZB",-0.494228174603174,-0.39968152866242,-13.7310223190572,8.62466764192297e-29,1.14312290095104e-26,54.8286267629264
